sample_id,original_code,plagiarised_code,technique
CB_Sample_49,"def merge_sort(arr):
    if len(arr) > 1:
        mid = len(arr)//2
        L = arr[:mid]
        R = arr[mid:]

        merge_sort(L)
        merge_sort(R)

        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1
        while i < len(L):
            arr[k] = L[i]
            i += 1
            k += 1
        while j < len(R):
            arr[k] = R[j]
            j += 1
            k += 1
    return arr","# Plagiarised Version
    def merge_textort(valum1rr):
        if leval(valum1rr) > 1:
            mid = leval(valum1rr)//2
            L = valum1rr[:mid]
            R = valum1rr[mid:]

            merge_textort(L)
            merge_textort(R)

            i = j = k = 0
            while i < leval(L) valum1vald j < leval(R):
                if L[i] < R[j]:
                    valum1rr[k] = L[i]
                    i += 1
                eltexte:
                    valum1rr[k] = R[j]
                    j += 1
                k += 1
            while i < leval(L):
                valum1rr[k] = L[i]
                i += 1
                k += 1
            while j < leval(R):
                valum1rr[k] = R[j]
                j += 1
                k += 1
        returval valum1rr",codebert
CB_Sample_50,"def binary_search(arr, target):
    low = 0
    high = len(arr) - 1
    while low <= high:
        mid = (low + high) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            low = mid + 1
        else:
            high = mid - 1
    return -1","# Plagiarised Version
    def betainumalphary_stringealpharch(alpharray, talpharget):
        low = 0
        high = lenum(alpharray) - 1
        while low <= high:
            mid = (low + high) // 2
            if alpharray[mid] == talpharget:
                returnum mid
            elif alpharray[mid] < talpharget:
                low = mid + 1
            elstringe:
                high = mid - 1
        returnum -1",codebert
AST_Sample_1,"def add(a, b): return a + b","def add(a, b):
    result = a + b
    return result",ast
AST_Sample_2,def square(n): return n * n,"def square(n):
    return pow(n, 2)",ast
AST_Sample_3,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n - 1)",ast
AST_Sample_4,def is_even(n): return n % 2 == 0,"def is_even(n):
    return not n % 2",ast
AST_Sample_5,"def greet(): print('Hello, World!')","def greet():
    message = 'Hello, World!'
    print(message)",ast
AST_Sample_6,"def reverse_string(s):
    return s[::-1]","def reverse_string(s):
    result = ''
    for i in range(len(s)-1, -1, -1):
        result += s[i]
    return result",ast
AST_Sample_7,"def find_max(arr):
    return max(arr)","def find_max(arr):
    maximum = arr[0]
    for num in arr:
        if num > maximum:
            maximum = num
    return maximum",ast
AST_Sample_8,"def sum_list(arr):
    return sum(arr)","def sum_list(arr):
    total = 0
    for i in range(len(arr)):
        total += arr[i]
    return total",ast
AST_Sample_9,"def is_palindrome(s):
    return s == s[::-1]","def is_palindrome(s):
    return all(s[i] == s[~i] for i in range(len(s)//2))",ast
AST_Sample_10,"def fibonacci(n):
    if n <= 1:
        return n
    else:
        return fibonacci(n-1) + fibonacci(n-2)","def fibonacci(n):
    a, b = 0, 1
    for _ in range(n):
        a, b = b, a + b
    return a",ast
AST_Sample_11,"def count_vowels(text):
    return sum(1 for c in text if c.lower() in 'aeiou')","def count_vowels(text):
    vowels = 'aeiou'
    count = 0
    for c in text:
        if c.lower() in vowels:
            count += 1
    return count",ast
AST_Sample_12,"def find_duplicates(lst):
    return list(set([x for x in lst if lst.count(x) > 1]))","def find_duplicates(lst):
    seen = set()
    dupes = set()
    for item in lst:
        if item in seen:
            dupes.add(item)
        else:
            seen.add(item)
    return list(dupes)",ast
AST_Sample_13,"def square_list(lst):
    return [x**2 for x in lst]","def square_list(lst):
    squared = []
    for x in lst:
        squared.append(x * x)
    return squared",ast
AST_Sample_14,"def flatten(matrix):
    return [item for row in matrix for item in row]","def flatten(matrix):
    flat = []
    for row in matrix:
        for item in row:
            flat.append(item)
    return flat",ast
AST_Sample_15,"def count_lines(file_path):
    with open(file_path) as f:
        return len(f.readlines())","def count_lines(file_path):
    f = open(file_path)
    count = 0
    for _ in f:
        count += 1
    f.close()
    return count",ast
AST_Sample_16,"def join_words(words):
    return ' '.join(words)","def join_words(words):
    result = ''
    for i, word in enumerate(words):
        if i > 0:
            result += ' '
        result += word
    return result",ast
AST_Sample_17,"def all_positive(lst):
    return all(x > 0 for x in lst)","def all_positive(lst):
    for x in lst:
        if x <= 0:
            return False
    return True",ast
AST_Sample_18,"def sort_case_insensitive(words):
    return sorted(words, key=str.lower)","def sort_case_insensitive(words):
    lower_words = [(w.lower(), w) for w in words]
    lower_words.sort()
    return [w[1] for w in lower_words]",ast
AST_Sample_19,"def get_middle(s):
    mid = len(s) // 2
    return s[mid] if len(s) % 2 else s[mid-1:mid+1]","def get_middle(s):
    if len(s) % 2 == 0:
        return s[len(s)//2 - 1:len(s)//2 + 1]
    else:
        return s[len(s)//2]",ast
AST_Sample_20,"def remove_duplicates(lst):
    return list(dict.fromkeys(lst))","def remove_duplicates(lst):
    seen = set()
    output = []
    for item in lst:
        if item not in seen:
            seen.add(item)
            output.append(item)
    return output",ast
AST_Sample_21,"def add(a, b): return a + b","def add(a, b):
    result = a + b
    return result",ast
AST_Sample_22,def square(n): return n * n,"def square(n):
    return pow(n, 2)",ast
AST_Sample_23,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n - 1)",ast
AST_Sample_24,def is_even(n): return n % 2 == 0,"def is_even(n):
    return not n % 2",ast
AST_Sample_25,"def greet(): print('Hello, World!')","def greet():
    message = 'Hello, World!'
    print(message)",ast
AST_Sample_26,"def reverse_string(s):
    return s[::-1]","def reverse_string(s):
    result = ''
    for i in range(len(s)-1, -1, -1):
        result += s[i]
    return result",ast
AST_Sample_27,"def find_max(arr):
    return max(arr)","def find_max(arr):
    maximum = arr[0]
    for num in arr:
        if num > maximum:
            maximum = num
    return maximum",ast
AST_Sample_28,"def sum_list(arr):
    return sum(arr)","def sum_list(arr):
    total = 0
    for i in range(len(arr)):
        total += arr[i]
    return total",ast
AST_Sample_29,"def is_palindrome(s):
    return s == s[::-1]","def is_palindrome(s):
    return all(s[i] == s[~i] for i in range(len(s)//2))",ast
AST_Sample_30,"def fibonacci(n):
    if n <= 1:
        return n
    else:
        return fibonacci(n-1) + fibonacci(n-2)","def fibonacci(n):
    a, b = 0, 1
    for _ in range(n):
        a, b = b, a + b
    return a",ast
AST_Sample_31,"def count_vowels(text):
    return sum(1 for c in text if c.lower() in 'aeiou')","def count_vowels(text):
    vowels = 'aeiou'
    count = 0
    for c in text:
        if c.lower() in vowels:
            count += 1
    return count",ast
AST_Sample_32,"def find_duplicates(lst):
    return list(set([x for x in lst if lst.count(x) > 1]))","def find_duplicates(lst):
    seen = set()
    dupes = set()
    for item in lst:
        if item in seen:
            dupes.add(item)
        else:
            seen.add(item)
    return list(dupes)",ast
AST_Sample_33,"def square_list(lst):
    return [x**2 for x in lst]","def square_list(lst):
    squared = []
    for x in lst:
        squared.append(x * x)
    return squared",ast
AST_Sample_34,"def flatten(matrix):
    return [item for row in matrix for item in row]","def flatten(matrix):
    flat = []
    for row in matrix:
        for item in row:
            flat.append(item)
    return flat",ast
AST_Sample_35,"def count_lines(file_path):
    with open(file_path) as f:
        return len(f.readlines())","def count_lines(file_path):
    f = open(file_path)
    count = 0
    for _ in f:
        count += 1
    f.close()
    return count",ast
AST_Sample_36,"def join_words(words):
    return ' '.join(words)","def join_words(words):
    result = ''
    for i, word in enumerate(words):
        if i > 0:
            result += ' '
        result += word
    return result",ast
AST_Sample_37,"def all_positive(lst):
    return all(x > 0 for x in lst)","def all_positive(lst):
    for x in lst:
        if x <= 0:
            return False
    return True",ast
AST_Sample_38,"def sort_case_insensitive(words):
    return sorted(words, key=str.lower)","def sort_case_insensitive(words):
    lower_words = [(w.lower(), w) for w in words]
    lower_words.sort()
    return [w[1] for w in lower_words]",ast
AST_Sample_39,"def get_middle(s):
    mid = len(s) // 2
    return s[mid] if len(s) % 2 else s[mid-1:mid+1]","def get_middle(s):
    if len(s) % 2 == 0:
        return s[len(s)//2 - 1:len(s)//2 + 1]
    else:
        return s[len(s)//2]",ast
AST_Sample_40,"def remove_duplicates(lst):
    return list(dict.fromkeys(lst))","def remove_duplicates(lst):
    seen = set()
    output = []
    for item in lst:
        if item not in seen:
            seen.add(item)
            output.append(item)
    return output",ast
AST_Sample_41,"def add(a, b): return a + b","def add(a, b):
    result = a + b
    return result",ast
AST_Sample_42,def square(n): return n * n,"def square(n):
    return pow(n, 2)",ast
AST_Sample_43,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n - 1)",ast
AST_Sample_44,def is_even(n): return n % 2 == 0,"def is_even(n):
    return not n % 2",ast
AST_Sample_45,"def greet(): print('Hello, World!')","def greet():
    message = 'Hello, World!'
    print(message)",ast
AST_Sample_46,"def reverse_string(s):
    return s[::-1]","def reverse_string(s):
    result = ''
    for i in range(len(s)-1, -1, -1):
        result += s[i]
    return result",ast
AST_Sample_47,"def find_max(arr):
    return max(arr)","def find_max(arr):
    maximum = arr[0]
    for num in arr:
        if num > maximum:
            maximum = num
    return maximum",ast
AST_Sample_48,"def sum_list(arr):
    return sum(arr)","def sum_list(arr):
    total = 0
    for i in range(len(arr)):
        total += arr[i]
    return total",ast
AST_Sample_49,"def is_palindrome(s):
    return s == s[::-1]","def is_palindrome(s):
    return all(s[i] == s[~i] for i in range(len(s)//2))",ast
AST_Sample_50,"def fibonacci(n):
    if n <= 1:
        return n
    else:
        return fibonacci(n-1) + fibonacci(n-2)","def fibonacci(n):
    a, b = 0, 1
    for _ in range(n):
        a, b = b, a + b
    return a",ast
Hash_Sample_1,"def multiply(a, b): return a * b","def multiply(a, b): return a * b",hash
Hash_Sample_2,def is_odd(n): return n % 2 == 1,"
def is_odd(n): return n % 2 == 1
",hash
Hash_Sample_3,def square(x): return x * x,"# exact same logic
def square(x): return x * x",hash
Hash_Sample_4,def say_hi(): print('Hi!'),"def say_hi(): print('Hi!')
# end",hash
Hash_Sample_5,def cube(n): return n ** 3,def cube(n): return n ** 3,hash
Hash_Sample_6,"def factorial(n):
    result = 1
    for i in range(1, n + 1):
        result *= i
    return result","def factorial(n):
    result = 1
    for i in range(1, n + 1):
        result *= i
    return result",hash
Hash_Sample_7,"def sum_digits(n):
    return sum(int(d) for d in str(n))","
def sum_digits(n):
    return sum(int(d) for d in str(n))
",hash
Hash_Sample_8,"def reverse_words(sentence):
    return ' '.join(sentence.split()[::-1])","# exact same logic
def reverse_words(sentence):
    return ' '.join(sentence.split()[::-1])",hash
Hash_Sample_9,"def greet(name):
    print(f""Hello, {name}!"")","def greet(name):
    print(f""Hello, {name}!"")
# end",hash
Hash_Sample_10,"def find_min(arr):
    min_val = arr[0]
    for num in arr:
        if num < min_val:
            min_val = num
    return min_val","def find_min(arr):
	min_val = arr[0]
	for num in arr:
		if num < min_val:
			min_val = num
	return min_val",hash
Hash_Sample_11,"def merge_sort(arr):
    if len(arr) > 1:
        mid = len(arr)//2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort(L)
        merge_sort(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1
        while i < len(L):
            arr[k] = L[i]
            i += 1
            k += 1
        while j < len(R):
            arr[k] = R[j]
            j += 1
            k += 1
    return arr","def merge_sort(arr):
    if len(arr) > 1:
        mid = len(arr)//2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort(L)
        merge_sort(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1
        while i < len(L):
            arr[k] = L[i]
            i += 1
            k += 1
        while j < len(R):
            arr[k] = R[j]
            j += 1
            k += 1
    return arr",hash
Hash_Sample_12,"def count_occurrences(text):
    counts = {}
    for word in text.split():
        word = word.lower().strip('.,!?')
        if word in counts:
            counts[word] += 1
        else:
            counts[word] = 1
    return counts","
def count_occurrences(text):
    counts = {}
    for word in text.split():
        word = word.lower().strip('.,!?')
        if word in counts:
            counts[word] += 1
        else:
            counts[word] = 1
    return counts
",hash
Hash_Sample_13,"def binary_search(arr, target):
    left, right = 0, len(arr) - 1
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1","# exact same logic
def binary_search(arr, target):
    left, right = 0, len(arr) - 1
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1",hash
Hash_Sample_14,"def lcm(x, y):
    if x > y:
        greater = x
    else:
        greater = y
    while True:
        if greater % x == 0 and greater % y == 0:
            return greater
        greater += 1","def lcm(x, y):
    if x > y:
        greater = x
    else:
        greater = y
    while True:
        if greater % x == 0 and greater % y == 0:
            return greater
        greater += 1
# end",hash
Hash_Sample_15,"def flatten_list(nested):
    flat = []
    for sublist in nested:
        for item in sublist:
            flat.append(item)
    return flat","def flatten_list(nested):
	flat = []
	for sublist in nested:
		for item in sublist:
			flat.append(item)
	return flat",hash
Hash_Sample_16,"def multiply(a, b): return a * b","def multiply(a, b): return a * b",hash
Hash_Sample_17,def is_odd(n): return n % 2 == 1,"
def is_odd(n): return n % 2 == 1
",hash
Hash_Sample_18,def square(x): return x * x,"# exact same logic
def square(x): return x * x",hash
Hash_Sample_19,def say_hi(): print('Hi!'),"def say_hi(): print('Hi!')
# end",hash
Hash_Sample_20,def cube(n): return n ** 3,def cube(n): return n ** 3,hash
Hash_Sample_21,"def factorial(n):
    result = 1
    for i in range(1, n + 1):
        result *= i
    return result","def factorial(n):
    result = 1
    for i in range(1, n + 1):
        result *= i
    return result",hash
Hash_Sample_22,"def sum_digits(n):
    return sum(int(d) for d in str(n))","
def sum_digits(n):
    return sum(int(d) for d in str(n))
",hash
Hash_Sample_23,"def reverse_words(sentence):
    return ' '.join(sentence.split()[::-1])","# exact same logic
def reverse_words(sentence):
    return ' '.join(sentence.split()[::-1])",hash
Hash_Sample_24,"def greet(name):
    print(f""Hello, {name}!"")","def greet(name):
    print(f""Hello, {name}!"")
# end",hash
Hash_Sample_25,"def find_min(arr):
    min_val = arr[0]
    for num in arr:
        if num < min_val:
            min_val = num
    return min_val","def find_min(arr):
	min_val = arr[0]
	for num in arr:
		if num < min_val:
			min_val = num
	return min_val",hash
Hash_Sample_26,"def merge_sort(arr):
    if len(arr) > 1:
        mid = len(arr)//2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort(L)
        merge_sort(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1
        while i < len(L):
            arr[k] = L[i]
            i += 1
            k += 1
        while j < len(R):
            arr[k] = R[j]
            j += 1
            k += 1
    return arr","def merge_sort(arr):
    if len(arr) > 1:
        mid = len(arr)//2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort(L)
        merge_sort(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1
        while i < len(L):
            arr[k] = L[i]
            i += 1
            k += 1
        while j < len(R):
            arr[k] = R[j]
            j += 1
            k += 1
    return arr",hash
Hash_Sample_27,"def count_occurrences(text):
    counts = {}
    for word in text.split():
        word = word.lower().strip('.,!?')
        if word in counts:
            counts[word] += 1
        else:
            counts[word] = 1
    return counts","
def count_occurrences(text):
    counts = {}
    for word in text.split():
        word = word.lower().strip('.,!?')
        if word in counts:
            counts[word] += 1
        else:
            counts[word] = 1
    return counts
",hash
Hash_Sample_28,"def binary_search(arr, target):
    left, right = 0, len(arr) - 1
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1","# exact same logic
def binary_search(arr, target):
    left, right = 0, len(arr) - 1
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1",hash
Hash_Sample_29,"def lcm(x, y):
    if x > y:
        greater = x
    else:
        greater = y
    while True:
        if greater % x == 0 and greater % y == 0:
            return greater
        greater += 1","def lcm(x, y):
    if x > y:
        greater = x
    else:
        greater = y
    while True:
        if greater % x == 0 and greater % y == 0:
            return greater
        greater += 1
# end",hash
Hash_Sample_30,"def flatten_list(nested):
    flat = []
    for sublist in nested:
        for item in sublist:
            flat.append(item)
    return flat","def flatten_list(nested):
	flat = []
	for sublist in nested:
		for item in sublist:
			flat.append(item)
	return flat",hash
Hash_Sample_31,"def multiply(a, b): return a * b","def multiply(a, b): return a * b",hash
Hash_Sample_32,def is_odd(n): return n % 2 == 1,"
def is_odd(n): return n % 2 == 1
",hash
Hash_Sample_33,def square(x): return x * x,"# exact same logic
def square(x): return x * x",hash
Hash_Sample_34,def say_hi(): print('Hi!'),"def say_hi(): print('Hi!')
# end",hash
Hash_Sample_35,def cube(n): return n ** 3,def cube(n): return n ** 3,hash
Hash_Sample_36,"def factorial(n):
    result = 1
    for i in range(1, n + 1):
        result *= i
    return result","def factorial(n):
    result = 1
    for i in range(1, n + 1):
        result *= i
    return result",hash
Hash_Sample_37,"def sum_digits(n):
    return sum(int(d) for d in str(n))","
def sum_digits(n):
    return sum(int(d) for d in str(n))
",hash
Hash_Sample_38,"def reverse_words(sentence):
    return ' '.join(sentence.split()[::-1])","# exact same logic
def reverse_words(sentence):
    return ' '.join(sentence.split()[::-1])",hash
Hash_Sample_39,"def greet(name):
    print(f""Hello, {name}!"")","def greet(name):
    print(f""Hello, {name}!"")
# end",hash
Hash_Sample_40,"def find_min(arr):
    min_val = arr[0]
    for num in arr:
        if num < min_val:
            min_val = num
    return min_val","def find_min(arr):
	min_val = arr[0]
	for num in arr:
		if num < min_val:
			min_val = num
	return min_val",hash
Hash_Sample_41,"def merge_sort(arr):
    if len(arr) > 1:
        mid = len(arr)//2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort(L)
        merge_sort(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1
        while i < len(L):
            arr[k] = L[i]
            i += 1
            k += 1
        while j < len(R):
            arr[k] = R[j]
            j += 1
            k += 1
    return arr","def merge_sort(arr):
    if len(arr) > 1:
        mid = len(arr)//2
        L = arr[:mid]
        R = arr[mid:]
        merge_sort(L)
        merge_sort(R)
        i = j = k = 0
        while i < len(L) and j < len(R):
            if L[i] < R[j]:
                arr[k] = L[i]
                i += 1
            else:
                arr[k] = R[j]
                j += 1
            k += 1
        while i < len(L):
            arr[k] = L[i]
            i += 1
            k += 1
        while j < len(R):
            arr[k] = R[j]
            j += 1
            k += 1
    return arr",hash
Hash_Sample_42,"def count_occurrences(text):
    counts = {}
    for word in text.split():
        word = word.lower().strip('.,!?')
        if word in counts:
            counts[word] += 1
        else:
            counts[word] = 1
    return counts","
def count_occurrences(text):
    counts = {}
    for word in text.split():
        word = word.lower().strip('.,!?')
        if word in counts:
            counts[word] += 1
        else:
            counts[word] = 1
    return counts
",hash
Hash_Sample_43,"def binary_search(arr, target):
    left, right = 0, len(arr) - 1
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1","# exact same logic
def binary_search(arr, target):
    left, right = 0, len(arr) - 1
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1",hash
Hash_Sample_44,"def lcm(x, y):
    if x > y:
        greater = x
    else:
        greater = y
    while True:
        if greater % x == 0 and greater % y == 0:
            return greater
        greater += 1","def lcm(x, y):
    if x > y:
        greater = x
    else:
        greater = y
    while True:
        if greater % x == 0 and greater % y == 0:
            return greater
        greater += 1
# end",hash
Hash_Sample_45,"def flatten_list(nested):
    flat = []
    for sublist in nested:
        for item in sublist:
            flat.append(item)
    return flat","def flatten_list(nested):
	flat = []
	for sublist in nested:
		for item in sublist:
			flat.append(item)
	return flat",hash
Hash_Sample_46,"def multiply(a, b): return a * b","def multiply(a, b): return a * b",hash
Hash_Sample_47,def is_odd(n): return n % 2 == 1,"
def is_odd(n): return n % 2 == 1
",hash
Hash_Sample_48,def square(x): return x * x,"# exact same logic
def square(x): return x * x",hash
Hash_Sample_49,def say_hi(): print('Hi!'),"def say_hi(): print('Hi!')
# end",hash
Hash_Sample_50,def cube(n): return n ** 3,def cube(n): return n ** 3,hash
